sample,class_id
signer13_sample413,64
signer13_sample451,5
signer13_sample494,215
signer13_sample500,27
signer13_sample555,5
signer13_sample560,184
signer13_sample562,215
signer13_sample586,215
signer13_sample595,64
signer13_sample701,5
signer13_sample768,27
signer13_sample782,215
signer13_sample836,184
signer13_sample910,5
signer13_sample961,64
signer13_sample1149,215
signer13_sample1315,5
signer13_sample1329,184
signer13_sample1341,27
signer13_sample1345,64
signer13_sample1449,5
signer13_sample1458,184
signer13_sample1502,215
signer13_sample1533,27
signer13_sample1535,27
signer13_sample1586,184
signer13_sample1625,5
signer13_sample1673,64
signer13_sample1737,64
signer13_sample1757,184
signer13_sample1831,64
signer13_sample1842,27
signer13_sample1862,184
signer13_sample1918,184
signer13_sample1968,5
signer13_sample1970,27
signer13_sample2008,5
signer13_sample2011,184
signer15_sample46,215
signer15_sample89,27
signer15_sample101,64
signer15_sample123,64
signer15_sample136,184
signer15_sample166,184
signer15_sample186,5
signer15_sample192,5
signer15_sample244,27
signer15_sample256,215
signer17_sample8,64
signer17_sample59,184
signer17_sample99,64
signer17_sample100,5
signer17_sample121,215
signer17_sample159,27
signer17_sample164,27
signer17_sample257,5
signer17_sample329,184
signer17_sample346,215
signer19_sample7,27
signer19_sample34,27
signer19_sample170,215
signer19_sample231,215
signer19_sample277,184
signer19_sample337,64
signer19_sample345,5
signer19_sample355,5
signer19_sample376,5
signer19_sample430,215
signer19_sample462,184
signer19_sample523,64
signer19_sample568,184
signer19_sample636,64
signer19_sample639,27
signer20_sample59,64
signer20_sample69,27
signer20_sample99,184
signer20_sample136,64
signer20_sample180,215
signer20_sample188,27
signer20_sample192,64
signer20_sample251,5
signer20_sample263,215
signer20_sample268,5
signer20_sample431,184
signer20_sample445,215
signer20_sample501,27
signer20_sample538,184
signer20_sample578,5
signer21_sample15,27
signer21_sample23,5
signer21_sample52,64
signer21_sample167,27
signer21_sample174,5
signer21_sample180,27
signer21_sample262,215
signer21_sample269,184
signer21_sample392,5
signer21_sample430,64
signer21_sample455,215
signer21_sample500,64
signer21_sample510,184
signer21_sample518,184
signer21_sample563,215
signer22_sample11,5
signer22_sample128,27
signer22_sample239,215
signer22_sample301,64
signer22_sample366,184
signer22_sample401,64
signer22_sample428,5
signer22_sample457,184
signer22_sample459,27
signer22_sample476,27
signer22_sample485,215
signer22_sample520,215
signer22_sample539,5
signer22_sample589,64
signer23_sample17,64
signer23_sample26,5
signer23_sample146,5
signer23_sample160,27
signer23_sample232,64
signer23_sample239,5
signer23_sample394,64
signer23_sample413,184
signer23_sample443,215
signer23_sample467,184
signer23_sample505,27
signer23_sample550,184
signer23_sample629,215
signer23_sample630,215
signer23_sample670,27
signer24_sample34,5
signer24_sample61,27
signer24_sample121,215
signer24_sample140,64
signer24_sample159,64
signer24_sample213,184
signer24_sample256,64
signer24_sample308,27
signer24_sample360,27
signer24_sample388,215
signer24_sample466,184
signer24_sample469,5
signer24_sample502,184
signer24_sample567,5
signer24_sample596,215
signer26_sample78,5
signer26_sample83,215
signer26_sample87,27
signer26_sample206,64
signer26_sample235,184
signer26_sample268,184
signer26_sample307,5
signer26_sample391,5
signer26_sample403,27
signer26_sample429,215
signer26_sample519,64
signer26_sample526,215
signer26_sample550,184
signer26_sample571,64
signer26_sample601,27
signer28_sample59,64
signer28_sample67,215
signer28_sample111,64
signer28_sample133,215
signer28_sample164,184
signer28_sample254,27
signer28_sample403,5
signer28_sample413,64
signer28_sample470,215
signer28_sample472,27
signer28_sample524,27
signer28_sample526,184
signer28_sample551,5
signer28_sample580,5
signer28_sample608,184
signer29_sample36,5
signer29_sample112,184
signer29_sample138,5
signer29_sample154,64
signer29_sample198,215
signer29_sample231,27
signer29_sample247,5
signer29_sample251,64
signer29_sample363,184
signer29_sample393,64
signer29_sample395,215
signer29_sample428,215
signer29_sample489,27
signer29_sample519,184
signer29_sample530,27
signer31_sample75,27
signer31_sample90,64
signer31_sample181,215
signer31_sample225,184
signer31_sample238,64
signer31_sample315,215
signer31_sample343,5
signer31_sample356,64
signer31_sample463,5
signer31_sample564,5
signer31_sample570,184
signer31_sample572,27
signer31_sample616,184
signer31_sample617,27
signer31_sample624,215
signer32_sample4,215
signer32_sample18,184
signer32_sample31,184
signer32_sample56,27
signer32_sample92,27
signer32_sample105,64
signer32_sample175,5
signer32_sample237,64
signer32_sample253,184
signer32_sample429,5
signer32_sample497,64
signer32_sample515,27
signer32_sample544,215
signer32_sample568,215
signer33_sample1,215
signer33_sample63,184
signer33_sample64,215
signer33_sample134,184
signer33_sample238,5
signer33_sample250,27
signer33_sample328,27
signer33_sample342,64
signer33_sample453,184
signer33_sample461,5
signer33_sample465,5
signer33_sample466,27
signer33_sample469,215
signer33_sample471,64
signer33_sample576,64
signer36_sample2,64
signer36_sample176,5
signer36_sample208,215
signer36_sample377,27
signer36_sample381,5
signer36_sample408,5
signer36_sample464,184
signer36_sample484,27
signer36_sample495,184
signer36_sample534,64
signer36_sample569,215
signer36_sample571,27
signer36_sample580,184
signer36_sample609,64
signer36_sample654,215
signer37_sample211,64
signer37_sample217,184
signer37_sample233,5
signer37_sample238,27
signer37_sample259,184
signer37_sample300,64
signer37_sample307,184
signer37_sample330,215
signer37_sample342,5
signer37_sample419,64
signer37_sample457,27
signer37_sample468,27
signer37_sample559,215
signer37_sample632,215
signer38_sample258,215
signer38_sample281,184
signer38_sample295,27
signer38_sample319,215
signer38_sample377,184
signer38_sample398,64
signer38_sample403,64
signer38_sample413,5
signer38_sample441,184
signer38_sample462,5
signer38_sample501,27
signer38_sample530,27
signer38_sample551,64
signer38_sample569,215
signer38_sample619,5
signer40_sample86,5
signer40_sample89,64
signer40_sample95,64
signer40_sample101,5
signer40_sample183,64
signer40_sample272,215
signer40_sample312,184
signer40_sample321,27
signer40_sample331,27
signer40_sample336,184
signer40_sample479,27
signer40_sample486,215
signer40_sample570,184
signer40_sample644,215
signer40_sample646,5
signer41_sample18,215
signer41_sample52,64
signer41_sample61,64
signer41_sample87,27
signer41_sample127,64
signer41_sample175,215
signer41_sample227,215
signer41_sample349,5
signer41_sample526,27
signer41_sample530,5
signer41_sample571,184
signer41_sample587,184
signer41_sample626,27
signer41_sample644,5
signer41_sample645,184
signer42_sample42,5
signer42_sample119,215
signer42_sample138,184
signer42_sample144,64
signer42_sample228,5
signer42_sample233,64
signer42_sample371,27
signer42_sample383,5
signer42_sample420,215
signer42_sample472,27
signer42_sample501,184
signer42_sample513,184
signer42_sample592,64
signer42_sample596,27
signer42_sample670,215
